Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
01;Østfold;;;;;A;Arbeiderpartiet;30,4802;223945;24815;24530;49345;-1,58991;3,00348;3;0;
01;Østfold;;;;;SV;SV - Sosialistisk Venstreparti;6,07874;223945;5526;4315;9841;1,71525;1,87709;1;1;
01;Østfold;;;;;RØDT;Rødt;4,58145;223945;4257;3160;7417;2,43971;0,40108;0;0;
01;Østfold;;;;;SP;Senterpartiet;14,11311;223945;10081;12767;22848;5,45183;-3,17761;2;0;
01;Østfold;;;;;KRF;Kristelig Folkeparti;3,34235;223945;2576;2835;5411;-0,8624;-0,23643;0;0;
01;Østfold;;;;;MDG;Miljøpartiet De Grønne;2,95444;223945;2975;1808;4783;0,3729;-3,03936;0;0;
01;Østfold;;;;;V;Venstre;2,94641;223945;2407;2363;4770;0,53858;1,06122;0;0;
01;Østfold;;;;;H;Høyre;18,66059;223945;15597;14613;30210;-5,17047;0,85895;2;0;
01;Østfold;;;;;FRP;Fremskrittspartiet;12,67882;223945;9328;11198;20526;-4,85974;3,77248;1;0;
01;Østfold;;;;;AAN;Alliansen - Alternativ for Norge;0,10624;223945;78;94;172;0,10624;0,10624;0;0;
01;Østfold;;;;;DEMN;Demokratene;1,45035;223945;1252;1096;2348;1,32804;1,22406;0;0;
01;Østfold;;;;;FNB;Folkeaksjonen Nei til mer bompenger;0,17604;223945;144;141;285;0,17604;-3,90025;0;0;
01;Østfold;;;;;HELSE;Helsepartiet;0,24275;223945;208;185;393;-0,2621;-0,22007;0;0;
01;Østfold;;;;;INP;Industri- og Næringspartiet;0,14207;223945;115;115;230;0,14207;0,14207;0;0;
01;Østfold;;;;;KRISTNE;Partiet De Kristne;0,42621;223945;364;326;690;0,10482;-0,21638;0;0;
01;Østfold;;;;;LIBS;Liberalistene;0,16245;223945;119;144;263;-0,05875;-0,10798;0;0;
01;Østfold;;;;;PIR;Piratpartiet;0,09574;223945;73;82;155;0,09574;-0,14947;0;0;
01;Østfold;;;;;PP;Pensjonistpartiet;1,15447;223945;1147;722;1869;0,31391;-0,89944;0;0;
01;Østfold;;;;;PS;Partiet Sentrum;0,20755;223945;175;161;336;0,20755;0,20755;0;0;
01;Østfold;;;;;BLANKE;Blanke;0,89813;223945;608;846;1454;-0,03937;-1,46565;0;0;
02;Akershus;;;;;A;Arbeiderpartiet;25,82768;471106;54919;40240;95159;-0,50488;3,23366;5;0;
02;Akershus;;;;;SV;SV - Sosialistisk Venstreparti;6,76993;471106;15606;9337;24943;1,5362;1,95926;1;0;
02;Akershus;;;;;RØDT;Rødt;3,92359;471106;9012;5444;14456;1,99414;0,85026;1;0;
02;Akershus;;;;;SP;Senterpartiet;8,80284;471106;17154;15279;32433;2,9018;-0,72593;2;0;
02;Akershus;;;;;KRF;Kristelig Folkeparti;2,04946;471106;4362;3189;7551;-0,31939;-0,22439;0;0;
02;Akershus;;;;;MDG;Miljøpartiet De Grønne;4,70527;471106;12241;5095;17336;1,06578;-4,10954;1;0;
02;Akershus;;;;;V;Venstre;6,8424;471106;15049;10161;25210;0,451;1,92347;1;0;
02;Akershus;;;;;H;Høyre;27,44939;471106;63928;37206;101134;-3,60531;-1,10904;6;1;
02;Akershus;;;;;FRP;Fremskrittspartiet;10,48399;471106;20895;17732;38627;-4,80413;1,84599;2;0;
02;Akershus;;;;;AAN;Alliansen - Alternativ for Norge;0,08278;471106;142;163;305;0,08278;0,08278;0;0;
02;Akershus;;;;;DEMN;Demokratene;1,08404;471106;2395;1599;3994;1,0025;0,83932;0;0;
02;Akershus;;;;;FNB;Folkeaksjonen Nei til mer bompenger;0,17099;471106;291;339;630;0,17099;-3,00099;0;0;
02;Akershus;;;;;HELSE;Helsepartiet;0,3143;471106;658;500;1158;-0,28789;-0,19435;0;0;
02;Akershus;;;;;INP;Industri- og Næringspartiet;0,13164;471106;283;202;485;0,13164;0,13164;0;0;
02;Akershus;;;;;KRISTNE;Partiet De Kristne;0,19433;471106;425;291;716;0,06665;-0,08401;0;0;
02;Akershus;;;;;LIBS;Liberalistene;0,17072;471106;331;298;629;-0,01076;-0,08264;0;0;
02;Akershus;;;;;PIR;Piratpartiet;0,09147;471106;153;184;337;-0,06538;-0,14043;0;0;
02;Akershus;;;;;PP;Pensjonistpartiet;0,61801;471106;1579;698;2277;0,06593;-0,95725;0;0;
02;Akershus;;;;;PS;Partiet Sentrum;0,25676;471106;541;405;946;0,25676;0,25676;0;0;
