Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
01;Østfold;;;;;A;Arbeiderpartiet;30,5033;223945;24552;24515;49067;-1,56681;3,02658;3;0;
01;Østfold;;;;;SV;SV - Sosialistisk Venstreparti;6,02022;223945;5373;4311;9684;1,65672;1,81856;1;1;
01;Østfold;;;;;RØDT;Rødt;4,56427;223945;4185;3157;7342;2,42254;0,38391;0;0;
01;Østfold;;;;;SP;Senterpartiet;14,15223;223945;9999;12766;22765;5,49095;-3,13849;2;0;
01;Østfold;;;;;KRF;Kristelig Folkeparti;3,34829;223945;2554;2832;5386;-0,85646;-0,23048;0;0;
01;Østfold;;;;;MDG;Miljøpartiet De Grønne;2,91002;223945;2875;1806;4681;0,32849;-3,08378;0;0;
01;Østfold;;;;;V;Venstre;2,91624;223945;2329;2362;4691;0,50841;1,03105;0;0;
01;Østfold;;;;;H;Høyre;18,69164;223945;15456;14611;30067;-5,13941;0,89;2;0;
01;Østfold;;;;;FRP;Fremskrittspartiet;12,71991;223945;9267;11194;20461;-4,81865;3,81357;1;0;
01;Østfold;;;;;AAN;Alliansen - Alternativ for Norge;0,10693;223945;78;94;172;0,10693;0,10693;0;0;
01;Østfold;;;;;DEMN;Demokratene;1,45532;223945;1245;1096;2341;1,33301;1,22904;0;0;
01;Østfold;;;;;FNB;Folkeaksjonen Nei til mer bompenger;0,17717;223945;144;141;285;0,17717;-3,89912;0;0;
01;Østfold;;;;;HELSE;Helsepartiet;0,24307;223945;206;185;391;-0,26179;-0,21975;0;0;
01;Østfold;;;;;INP;Industri- og Næringspartiet;0,14236;223945;114;115;229;0,14236;0,14236;0;0;
01;Østfold;;;;;KRISTNE;Partiet De Kristne;0,42646;223945;361;325;686;0,10507;-0,21612;0;0;
01;Østfold;;;;;LIBS;Liberalistene;0,16163;223945;116;144;260;-0,05957;-0,10881;0;0;
01;Østfold;;;;;PIR;Piratpartiet;0,09387;223945;69;82;151;0,09387;-0,15134;0;0;
01;Østfold;;;;;PP;Pensjonistpartiet;1,16065;223945;1145;722;1867;0,32009;-0,89326;0;0;
01;Østfold;;;;;PS;Partiet Sentrum;0,20639;223945;171;161;332;0,20639;0,20639;0;0;
01;Østfold;;;;;BLANKE;Blanke;0,89333;223945;592;845;1437;-0,04416;-1,47044;0;0;
02;Akershus;;;;;A;Arbeiderpartiet;25,83466;471106;54618;39910;94528;-0,4979;3,24064;5;0;
02;Akershus;;;;;SV;SV - Sosialistisk Venstreparti;6,75137;471106;15420;9283;24703;1,51764;1,9407;1;0;
02;Akershus;;;;;RØDT;Rødt;3,91614;471106;8932;5397;14329;1,98669;0,84281;1;0;
02;Akershus;;;;;SP;Senterpartiet;8,7749;471106;17065;15042;32107;2,87386;-0,75387;2;0;
