Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
01;Østfold;;;;;A;Arbeiderpartiet;30,4802;223945;24815;24530;49345;-1,58991;3,00348;3;0;
01;Østfold;;;;;SV;SV - Sosialistisk Venstreparti;6,07874;223945;5526;4315;9841;1,71525;1,87709;1;1;
01;Østfold;;;;;RØDT;Rødt;4,58145;223945;4257;3160;7417;2,43971;0,40108;0;0;
01;Østfold;;;;;SP;Senterpartiet;14,11311;223945;10081;12767;22848;5,45183;-3,17761;2;0;
01;Østfold;;;;;KRF;Kristelig Folkeparti;3,34235;223945;2576;2835;5411;-0,8624;-0,23643;0;0;
01;Østfold;;;;;MDG;Miljøpartiet De Grønne;2,95444;223945;2975;1808;4783;0,3729;-3,03936;0;0;
01;Østfold;;;;;V;Venstre;2,94641;223945;2407;2363;4770;0,53858;1,06122;0;0;
01;Østfold;;;;;H;Høyre;18,66059;223945;15597;14613;30210;-5,17047;0,85895;2;0;
01;Østfold;;;;;FRP;Fremskrittspartiet;12,67882;223945;9328;11198;20526;-4,85974;3,77248;1;0;
01;Østfold;;;;;AAN;Alliansen - Alternativ for Norge;0,10624;223945;78;94;172;0,10624;0,10624;0;0;
01;Østfold;;;;;DEMN;Demokratene;1,45035;223945;1252;1096;2348;1,32804;1,22406;0;0;
01;Østfold;;;;;FNB;Folkeaksjonen Nei til mer bompenger;0,17604;223945;144;141;285;0,17604;-3,90025;0;0;
01;Østfold;;;;;HELSE;Helsepartiet;0,24275;223945;208;185;393;-0,2621;-0,22007;0;0;
01;Østfold;;;;;INP;Industri- og Næringspartiet;0,14207;223945;115;115;230;0,14207;0,14207;0;0;
01;Østfold;;;;;KRISTNE;Partiet De Kristne;0,42621;223945;364;326;690;0,10482;-0,21638;0;0;
01;Østfold;;;;;LIBS;Liberalistene;0,16245;223945;119;144;263;-0,05875;-0,10798;0;0;
01;Østfold;;;;;PIR;Piratpartiet;0,09574;223945;73;82;155;0,09574;-0,14947;0;0;
01;Østfold;;;;;PP;Pensjonistpartiet;1,15447;223945;1147;722;1869;0,31391;-0,89944;0;0;
01;Østfold;;;;;PS;Partiet Sentrum;0,20755;223945;175;161;336;0,20755;0,20755;0;0;
01;Østfold;;;;;BLANKE;Blanke;0,89813;223945;608;846;1454;-0,03937;-1,46565;0;0;
02;Akershus;;;;;A;Arbeiderpartiet;25,81853;471106;55170;40262;95432;-0,51404;3,2245;5;0;
02;Akershus;;;;;SV;SV - Sosialistisk Venstreparti;6,79227;471106;15751;9355;25106;1,55854;1,9816;1;0;
02;Akershus;;;;;RØDT;Rødt;3,93073;471106;9081;5448;14529;2,00128;0,8574;1;0;
02;Akershus;;;;;SP;Senterpartiet;8,8043;471106;17256;15287;32543;2,90327;-0,72446;2;0;
02;Akershus;;;;;KRF;Kristelig Folkeparti;2,04748;471106;4377;3191;7568;-0,32138;-0,22637;0;0;
02;Akershus;;;;;MDG;Miljøpartiet De Grønne;4,71287;471106;12321;5099;17420;1,07338;-4,10193;1;0;
02;Akershus;;;;;V;Venstre;6,85179;471106;15157;10169;25326;0,46039;1,93286;1;0;
02;Akershus;;;;;H;Høyre;27,41366;471106;64110;37218;101328;-3,64105;-1,14478;6;1;
02;Akershus;;;;;FRP;Fremskrittspartiet;10,48465;471106;21009;17745;38754;-4,80346;1,84665;2;0;
02;Akershus;;;;;AAN;Alliansen - Alternativ for Norge;0,08306;471106;144;163;307;0,08306;0,08306;0;0;
02;Akershus;;;;;DEMN;Demokratene;1,0819;471106;2399;1600;3999;1,00037;0,83719;0;0;
02;Akershus;;;;;FNB;Folkeaksjonen Nei til mer bompenger;0,17125;471106;294;339;633;0,17125;-3,00073;0;0;
02;Akershus;;;;;HELSE;Helsepartiet;0,31383;471106;659;501;1160;-0,28836;-0,19481;0;0;
02;Akershus;;;;;INP;Industri- og Næringspartiet;0,13203;471106;286;202;488;0,13203;0,13203;0;0;
02;Akershus;;;;;KRISTNE;Partiet De Kristne;0,19452;471106;428;291;719;0,06683;-0,08382;0;0;
02;Akershus;;;;;LIBS;Liberalistene;0,17125;471106;335;298;633;-0,01022;-0,08211;0;0;
02;Akershus;;;;;PIR;Piratpartiet;0,09144;471106;154;184;338;-0,0654;-0,14046;0;0;
02;Akershus;;;;;PP;Pensjonistpartiet;0,61738;471106;1584;698;2282;0,0653;-0,95788;0;0;
02;Akershus;;;;;PS;Partiet Sentrum;0,25675;471106;544;405;949;0,25675;0,25675;0;0;
