Seter: 59 Deling1: 1.4
H	92833	3722	3220
AP	73122	7139	5850
MDG	55772	5026	6818
SV	33258	5110	6385
R	26302	2856	3772
FNB	21346	792	1473
V	21110	2565	2056
FRP	19272	860	733
SP	7980	847	642
KRF	6346	1086	480
PP	2219	160	35
Blanke	1922	0	0
DEM	968	82	28
Helse	849	208	72
Lib	812	160	101
Pir	693	142	30
PDK	611	104	33
FI	579	700	156
Selv	573	21	42
All	398	271	17
NKP	265	78	16
Kyst	159	37	7
