Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
01;Østfold;;;;;A;Arbeiderpartiet;30,4802;223945;24815;24530;49345;-1,58991;3,00348;3;0;
01;Østfold;;;;;SV;SV - Sosialistisk Venstreparti;6,07874;223945;5526;4315;9841;1,71525;1,87709;1;1;
01;Østfold;;;;;RØDT;Rødt;4,58145;223945;4257;3160;7417;2,43971;0,40108;0;0;
01;Østfold;;;;;SP;Senterpartiet;14,11311;223945;10081;12767;22848;5,45183;-3,17761;2;0;
01;Østfold;;;;;KRF;Kristelig Folkeparti;3,34235;223945;2576;2835;5411;-0,8624;-0,23643;0;0;
01;Østfold;;;;;MDG;Miljøpartiet De Grønne;2,95444;223945;2975;1808;4783;0,3729;-3,03936;0;0;
01;Østfold;;;;;V;Venstre;2,94641;223945;2407;2363;4770;0,53858;1,06122;0;0;
01;Østfold;;;;;H;Høyre;18,66059;223945;15597;14613;30210;-5,17047;0,85895;2;0;
01;Østfold;;;;;FRP;Fremskrittspartiet;12,67882;223945;9328;11198;20526;-4,85974;3,77248;1;0;
01;Østfold;;;;;AAN;Alliansen - Alternativ for Norge;0,10624;223945;78;94;172;0,10624;0,10624;0;0;
01;Østfold;;;;;DEMN;Demokratene;1,45035;223945;1252;1096;2348;1,32804;1,22406;0;0;
01;Østfold;;;;;FNB;Folkeaksjonen Nei til mer bompenger;0,17604;223945;144;141;285;0,17604;-3,90025;0;0;
01;Østfold;;;;;HELSE;Helsepartiet;0,24275;223945;208;185;393;-0,2621;-0,22007;0;0;
01;Østfold;;;;;INP;Industri- og Næringspartiet;0,14207;223945;115;115;230;0,14207;0,14207;0;0;
01;Østfold;;;;;KRISTNE;Partiet De Kristne;0,42621;223945;364;326;690;0,10482;-0,21638;0;0;
01;Østfold;;;;;LIBS;Liberalistene;0,16245;223945;119;144;263;-0,05875;-0,10798;0;0;
01;Østfold;;;;;PIR;Piratpartiet;0,09574;223945;73;82;155;0,09574;-0,14947;0;0;
01;Østfold;;;;;PP;Pensjonistpartiet;1,15447;223945;1147;722;1869;0,31391;-0,89944;0;0;
01;Østfold;;;;;PS;Partiet Sentrum;0,20755;223945;175;161;336;0,20755;0,20755;0;0;
01;Østfold;;;;;BLANKE;Blanke;0,89813;223945;608;846;1454;-0,03937;-1,46565;0;0;
02;Akershus;;;;;A;Arbeiderpartiet;25,81968;471106;55347;40263;95610;-0,51289;3,22565;5;0;
02;Akershus;;;;;SV;SV - Sosialistisk Venstreparti;6,81746;471106;15890;9355;25245;1,58374;2,0068;1;0;
02;Akershus;;;;;RØDT;Rødt;3,93493;471106;9123;5448;14571;2,00548;0,8616;1;0;
02;Akershus;;;;;SP;Senterpartiet;8,79911;471106;17295;15288;32583;2,89807;-0,72966;2;0;
02;Akershus;;;;;KRF;Kristelig Folkeparti;2,04672;471106;4388;3191;7579;-0,32213;-0,22712;0;0;
02;Akershus;;;;;MDG;Miljøpartiet De Grønne;4,71511;471106;12361;5099;17460;1,07562;-4,0997;1;0;
02;Akershus;;;;;V;Venstre;6,85689;471106;15222;10169;25391;0,46549;1,93796;1;0;
02;Akershus;;;;;H;Høyre;27,39381;471106;64221;37218;101439;-3,66089;-1,16462;6;1;
02;Akershus;;;;;FRP;Fremskrittspartiet;10,47181;471106;21031;17746;38777;-4,81631;1,83381;2;0;
02;Akershus;;;;;AAN;Alliansen - Alternativ for Norge;0,08345;471106;146;163;309;0,08345;0,08345;0;0;
02;Akershus;;;;;DEMN;Demokratene;1,0821;471106;2407;1600;4007;1,00056;0,83739;0;0;
02;Akershus;;;;;FNB;Folkeaksjonen Nei til mer bompenger;0,17148;471106;296;339;635;0,17148;-3,0005;0;0;
02;Akershus;;;;;HELSE;Helsepartiet;0,31353;471106;660;501;1161;-0,28866;-0,19511;0;0;
02;Akershus;;;;;INP;Industri- og Næringspartiet;0,13152;471106;285;202;487;0,13152;0,13152;0;0;
02;Akershus;;;;;KRISTNE;Partiet De Kristne;0,19444;471106;429;291;720;0,06675;-0,08391;0;0;
02;Akershus;;;;;LIBS;Liberalistene;0,17175;471106;338;298;636;-0,00973;-0,08161;0;0;
02;Akershus;;;;;PIR;Piratpartiet;0,09128;471106;154;184;338;-0,06557;-0,14062;0;0;
02;Akershus;;;;;PP;Pensjonistpartiet;0,61734;471106;1588;698;2286;0,06526;-0,95792;0;0;
02;Akershus;;;;;PS;Partiet Sentrum;0,25736;471106;548;405;953;0,25736;0,25736;0;0;
